a,a,4745,1
aa,a,1,0.5
aa,aa,1,0.5
aaa,aaa,3,1
aab,aab,2,1
aabb,aabb,5,1
aac,aac,21,1
aad,aad,8,1
aafter,aafter,2,1
aaguids,aaguids,3,1
aalias,aalias,1,1
aaliases,aaliases,1,1
aand,aand,24,1
aapt,aapt,1,1
aar,aar,1,1
aarch,aarch,1,1
aars,aars,1,1
ab,a,15,0.576923077
ab,ab,11,0.423076923
abandon,abandon,1,1
abandoned,abandoned,17,1
abbr,abbr,9,1
abbreviate,abbreviate,2,1
abbreviated,abbrev,1,0.333333333
abbreviated,abbreviated,2,0.666666667
abbreviation,abbr,9,0.75
abbreviation,abbreviation,3,0.25
abbreviations,a,1,0.5
abbreviations,abbreviations,1,0.5
abbreviator,abbreviator,1,1
abbs,abbs,1,1
abc,a,12,0.705882353
abc,abc,5,0.294117647
abcdef,abcdef,2,1
abefore,abefore,1,1
abfs,abfs,1,1
abgr,abgr,11,1
abi,abi,142,1
ability,ability,2,1
abis,abis,8,1
able,a,39,0.219101124
able,able,139,0.780898876
abnormal,abnormal,4,1
abort,abort,50,1
aborted,aborted,10,1
aborting,aborting,2,1
abosolute,abosolute,1,1
about,a,5,0.166666667
about,about,25,0.833333333
above,above,19,1
abs,abs,22,1
absence,absence,42,1
absent,a,1,0.006289308
absent,abs,2,0.012578616
absent,absent,156,0.981132075
absolut,absolut,1,1
absolute,a,6,0.030927835
absolute,abs,31,0.159793814
absolute,absolute,155,0.798969072
absolute,absoute,2,0.010309278
absolutely,absolutely,3,1
absorb,abs,1,1
absoute,absoute,6,1
abstain,abstain,1,1
abstr,abstr,5,1
abstract,a,28,0.061538462
abstract,abstract,427,0.938461538
abstract Window Toolkit,aWT,15,0.428571429
abstract Window Toolkit,awt,20,0.571428571
abstraction,abstraction,2,1
ac,ac,72,1
acc,acc,28,1
accel,accel,1,1
accelerated,accelerated,1,1
accelerated Advanced Graphics Port,agp,1,1
accelerating,acc,1,1
acceleration,acceleration,3,1
accelerator,accelerator,1,1
accelerometer,accel,1,0.2
accelerometer,accelerometer,4,0.8
accent,accent,1,1
accented,a,1,0.166666667
accented,accented,5,0.833333333
accents,accents,5,1
accept,a,8,0.025889968
accept,accept,301,0.974110032
acceptable,acceptable,17,1
acceptance,a,13,0.928571429
acceptance,acceptance,1,0.071428571
accepted,a,2,0.028169014
accepted,accepted,69,0.971830986
accepting,a,1,0.142857143
accepting,accepting,6,0.857142857
acceptor,acceptor,7,1
acceptors,acceptors,1,1
accepts,a,7,0.056451613
accepts,accepts,117,0.943548387
acces,acces,2,1
accesed,accesed,2,1
accesible,accesible,1,1
access,a,24,0.031168831
access,acc,1,0.001298701
access,acces,2,0.002597403
access,access,743,0.964935065
access control,ac,4,1
access control list,aCL,1,0.5
access control list,acl,1,0.5
